fg,3pt,ft,oreb,dreb,reb,ast,stl,blk,to,pf,pts,id,team,home,date
43-90,9-25,17-22,9,36,45,17,4,10,13,27,112,401071174,Thunder,1,2018-12-23
43-93,9-28,19-23,12,27,39,29,10,9,7,18,114,401071222,Timberwolves,0,2018-12-31
45-87,14-25,19-21,11,33,44,28,3,2,15,21,123,401071222,Pelicans,1,2018-12-31
42-88,9-27,10-19,5,30,35,28,7,7,11,20,103,401071247,Magic,0,2019-01-04
47-91,9-26,17-23,10,44,54,29,6,2,11,20,120,401071247,Timberwolves,1,2019-01-04
38-90,11-31,32-40,15,27,42,25,9,4,10,23,119,401071279,Timberwolves,0,2019-01-08
43-85,12-30,19-26,10,33,43,22,4,5,16,30,117,401071279,Thunder,1,2019-01-08
50-96,10-25,19-26,9,30,39,24,6,2,13,26,129,401070707,Kings,0,2018-10-19
56-95,16-31,21-33,12,40,52,35,6,4,16,25,149,401070707,Pelicans,1,2018-10-19
46-88,10-32,30-37,6,37,43,32,7,7,13,26,132,401070756,Jazz,0,2018-10-27
40-95,9-34,22-29,11,29,40,22,4,5,16,32,111,401070756,Pelicans,1,2018-10-27
40-94,8-29,31-37,14,30,44,23,7,3,12,24,119,401070797,Pelicans,0,2018-11-01
44-87,18-35,26-31,8,38,46,26,4,4,14,30,132,401070797,Trail Blazers,1,2018-11-01
36-77,6-21,17-30,6,42,48,22,3,8,16,21,95,401070811,Pelicans,0,2018-11-03
45-96,8-23,11-14,8,35,43,29,8,4,9,21,109,401070811,Spurs,1,2018-11-03
41-84,9-29,25-30,11,34,45,27,8,5,20,26,116,401070825,Pelicans,0,2018-11-05
45-93,10-27,22-31,9,32,41,26,15,3,12,23,122,401070825,Thunder,1,2018-11-05
35-86,10-36,19-20,10,27,37,16,10,7,14,27,99,401070857,Suns,0,2018-11-10
42-86,11-25,24-29,16,38,54,28,7,7,18,18,119,401070857,Pelicans,1,2018-11-10
54-99,10-27,8-13,14,40,54,30,2,4,13,20,126,401070873,Pelicans,0,2018-11-12
39-97,13-45,19-22,13,30,43,22,9,5,10,20,110,401070873,Raptors,1,2018-11-12
48-98,11-34,17-24,12,32,44,15,10,6,13,31,124,401070903,Knicks,0,2018-11-16
48-99,10-34,23-32,11,43,54,27,5,5,15,25,129,401070903,Pelicans,1,2018-11-16
45-94,12-24,24-30,18,26,44,22,7,0,15,20,126,401070927,Spurs,0,2018-11-19
59-102,10-26,12-14,14,28,42,34,10,5,10,23,140,401070927,Pelicans,1,2018-11-19
42-98,11-30,25-33,20,34,54,24,8,8,15,21,120,401070934,Pelicans,0,2018-11-21
44-98,10-29,23-26,11,36,47,27,7,7,16,26,121,401070934,76ers,1,2018-11-21
40-101,7-28,22-29,20,35,55,26,5,5,14,22,109,401070950,Pelicans,0,2018-11-23
41-91,12-33,20-27,12,34,46,22,9,10,8,26,114,401070950,Knicks,1,2018-11-23
43-90,11-31,17-21,7,36,43,23,10,3,16,21,114,401070961,Pelicans,0,2018-11-24
51-90,10-29,12-23,5,40,45,30,12,9,14,16,124,401070961,Wizards,1,2018-11-24
41-95,13-39,9-16,12,26,38,26,12,2,16,22,104,401070993,Wizards,0,2018-11-28
46-95,11-36,22-28,17,47,64,24,10,5,20,20,125,401070993,Pelicans,1,2018-11-28
42-87,13-43,17-27,9,30,39,23,10,6,18,27,114,401071092,Thunder,0,2018-12-12
45-97,4-18,24-30,17,39,56,29,14,3,17,27,118,401071092,Pelicans,1,2018-12-12
44-94,6-26,23-28,12,46,58,26,6,9,12,29,117,401071173,Pelicans,0,2018-12-23
42-100,14-31,24-33,12,38,50,26,9,4,9,21,122,401071173,Kings,1,2018-12-23
39-93,5-27,12-16,15,36,51,19,5,5,18,28,95,401070816,Knicks,0,2018-11-04
36-83,6-26,30-39,15,32,47,21,12,11,13,18,108,401070816,Wizards,1,2018-11-04
44-96,6-22,18-22,16,31,47,18,12,6,14,26,112,401070855,Knicks,0,2018-11-10
42-79,14-35,30-40,12,34,46,24,8,4,15,20,128,401070855,Raptors,1,2018-11-10
44-98,17-42,10-11,10,42,52,31,10,9,11,21,115,401070867,Magic,0,2018-11-11
31-88,5-28,22-30,13,41,54,13,4,15,19,21,89,401070867,Knicks,1,2018-11-11
39-88,7-26,18-23,9,27,36,18,8,8,18,17,103,401070890,Knicks,0,2018-11-14
51-95,16-33,10-12,13,34,47,32,11,7,16,21,128,401070890,Thunder,1,2018-11-14
40-87,8-24,29-35,17,25,42,12,7,2,14,26,117,401070917,Knicks,0,2018-11-18
48-84,13-32,22-26,7,28,35,35,5,6,15,26,131,401070917,Magic,1,2018-11-18
45-95,16-35,12-17,14,29,43,25,8,4,11,19,118,401070932,Trail Blazers,0,2018-11-20
42-83,13-29,17-22,10,32,42,22,8,5,15,15,114,401070932,Knicks,1,2018-11-20
32-92,6-29,21-22,11,30,41,14,11,5,13,21,91,401070988,Knicks,0,2018-11-28
47-87,12-25,11-16,8,42,50,34,7,5,16,19,117,401070988,76ers,1,2018-11-28
44-92,13-32,9-12,8,30,38,30,7,8,10,24,110,401071027,Wizards,0,2018-12-03
37-90,12-34,21-28,19,36,55,20,4,5,16,14,107,401071027,Knicks,1,2018-12-03
48-92,9-27,23-27,4,40,44,27,8,5,7,20,128,401071125,Suns,0,2018-12-17
40-99,9-35,21-29,16,34,50,15,5,0,11,21,110,401071125,Knicks,1,2018-12-17
37-86,10-31,25-31,4,31,35,22,2,2,8,19,109,401071138,Knicks,0,2018-12-19
47-88,15-30,22-25,9,42,51,31,6,4,9,22,131,401071138,76ers,1,2018-12-19
32-86,15-32,18-22,8,27,35,17,10,1,15,19,97,401071208,Knicks,0,2018-12-29
51-93,16-36,11-14,15,45,60,30,8,6,17,27,129,401071208,Jazz,1,2018-12-29
36-89,7-23,22-27,14,34,48,18,9,2,11,19,101,401071273,Knicks,0,2019-01-07
40-85,11-31,20-29,12,39,51,25,7,5,14,21,111,401071273,Trail Blazers,1,2019-01-07
50-91,10-22,21-28,12,34,46,28,11,7,17,26,131,401070719,Kings,0,2018-10-21
46-104,9-39,19-30,18,33,51,23,11,9,18,29,120,401070719,Thunder,1,2018-10-21
38-86,8-27,26-27,10,34,44,21,10,3,22,32,110,401070766,Suns,0,2018-10-28
43-85,7-24,24-35,9,34,43,22,16,3,15,24,117,401070766,Thunder,1,2018-10-28
49-86,15-32,21-26,7,31,38,34,13,5,13,20,134,401070800,Thunder,0,2018-11-02
44-86,9-30,14-18,6,24,30,27,6,4,18,21,111,401070800,Wizards,1,2018-11-02
39-81,7-26,16-19,10,27,37,25,5,5,18,21,101,401070877,Suns,0,2018-11-12
43-92,13-27,19-20,12,30,42,23,12,6,13,15,118,401070877,Thunder,1,2018-11-12
38-85,7-24,27-32,14,38,52,17,9,7,18,20,110,401070914,Thunder,0,2018-11-17
37-82,12-29,14-21,4,27,31,25,14,6,14,28,100,401070914,Suns,1,2018-11-17
45-108,12-41,11-16,13,40,53,22,8,3,13,22,113,401070928,Thunder,0,2018-11-19
45-102,16-38,11-17,14,45,59,29,7,4,15,18,117,401070928,Kings,1,2018-11-19
43-84,8-29,19-30,11,34,45,30,11,4,20,28,113,401071077,Jazz,0,2018-12-10
43-85,8-21,28-39,12,31,43,25,12,2,17,26,122,401071077,Thunder,1,2018-12-10
51-102,13-32,17-27,18,48,66,27,8,6,17,24,132,401071147,Thunder,0,2018-12-19
39-93,13-34,22-33,10,33,43,28,7,5,13,18,113,401071147,Kings,1,2018-12-19
42-89,9-25,14-22,8,43,51,19,11,5,17,21,107,401071166,Thunder,0,2018-12-22
42-93,11-34,11-18,10,34,44,35,12,4,13,19,106,401071166,Jazz,1,2018-12-22
51-95,7-20,9-13,11,38,49,22,12,4,16,13,118,401071201,Thunder,0,2018-12-28
39-90,9-29,15-16,7,27,34,22,12,7,17,18,102,401071201,Suns,1,2018-12-28
40-94,8-25,23-26,11,38,49,18,9,6,10,21,111,401071251,Thunder,0,2019-01-04
41-95,9-31,18-21,11,39,50,30,6,5,12,17,109,401071251,Trail Blazers,1,2019-01-04
44-101,10-37,18-22,16,39,55,25,8,8,9,16,116,401071264,Wizards,0,2019-01-06
38-88,10-25,12-19,7,34,41,22,8,3,14,17,98,401071264,Thunder,1,2019-01-06
58-114,15-35,16-24,14,35,49,33,8,5,13,24,147,401071295,Thunder,0,2019-01-10
56-99,16-19,26-29,5,38,43,38,8,10,17,25,154,401071295,Spurs,1,2019-01-10
41-90,16-29,17-22,14,35,49,31,7,7,14,15,115,401070712,Magic,0,2018-10-20
45-94,17-33,9-10,13,33,46,33,8,3,10,21,116,401070712,76ers,1,2018-10-20
48-87,11-27,21-26,12,32,44,24,6,6,10,22,128,401070745,Trail Blazers,0,2018-10-25
43-86,12-30,16-20,11,29,40,29,5,7,14,21,114,401070745,Magic,1,2018-10-25
41-84,8-22,17-26,8,43,51,22,8,6,15,20,107,401070779,Kings,0,2018-10-30
36-91,11-43,16-22,11,37,48,28,10,8,16,22,99,401070779,Magic,1,2018-10-30
46-91,12-32,13-18,11,32,43,29,7,4,8,22,117,401070817,Magic,0,2018-11-04
38-88,12-35,22-25,10,33,43,25,3,5,11,21,110,401070817,Spurs,1,2018-11-04
42-82,11-27,13-19,6,29,35,24,8,3,18,18,108,401070848,Wizards,0,2018-11-09
44-86,13-31,16-19,10,31,41,26,8,6,15,18,117,401070848,Magic,1,2018-11-09
43-89,15-30,8-11,8,26,34,28,5,6,12,28,109,401070871,Magic,0,2018-11-12
40-79,13-33,24-33,7,34,41,24,8,7,10,17,117,401070871,Wizards,1,2018-11-12
41-86,14-29,10-15,10,31,41,32,2,3,14,21,106,401070883,76ers,0,2018-11-14
40-80,12-28,19-22,5,32,37,23,7,4,10,21,111,401070883,Magic,1,2018-11-14
39-87,9-34,6-8,6,37,43,23,7,5,16,19,93,401070929,Raptors,0,2018-11-20
34-84,8-30,15-19,11,38,49,24,5,4,14,11,91,401070929,Magic,1,2018-11-20
42-81,14-30,14-15,3,34,37,28,3,8,14,20,112,401070995,Magic,0,2018-11-28
37-85,19-39,22-32,13,34,47,24,8,1,11,17,115,401070995,Trail Blazers,1,2018-11-28
39-82,8-27,13-18,8,36,44,23,7,5,12,16,99,401071008,Magic,0,2018-11-30
34-84,7-28,10-14,9,31,40,22,5,0,12,15,85,401071008,Suns,1,2018-11-30
28-89,7-29,26-28,11,31,42,17,13,4,10,19,89,401071110,Jazz,0,2018-12-15
34-72,11-24,17-20,4,44,48,18,7,10,22,27,96,401071110,Magic,1,2018-12-15
50-77,12-19,17-21,4,41,45,29,5,4,11,15,129,401071137,Spurs,0,2018-12-19
34-89,12-31,10-17,11,22,33,19,5,3,11,18,90,401071137,Magic,1,2018-12-19
48-95,13-24,13-17,11,34,45,22,9,9,18,19,122,401071179,Suns,0,2018-12-26
44-96,14-36,18-22,11,31,42,20,11,2,15,18,120,401071179,Magic,1,2018-12-26
28-95,12-34,19-24,14,27,41,18,4,10,11,21,87,401071195,Raptors,0,2018-12-28
44-93,9-26,19-22,11,49,60,29,3,8,15,20,116,401071195,Magic,1,2018-12-28
32-87,13-37,18-24,5,41,46,15,8,1,16,15,95,401071274,Magic,0,2019-01-07
45-98,10-34,11-20,9,48,57,24,11,4,9,18,111,401071274,Kings,1,2019-01-07
33-83,13-33,14-20,7,34,41,17,6,4,11,20,93,401071290,Magic,0,2019-01-09
41-84,12-33,12-14,4,40,44,24,5,3,13,20,106,401071290,Jazz,1,2019-01-09
38-91,14-40,22-30,17,30,47,25,7,5,23,24,112,401070781,76ers,0,2018-10-30
47-92,11-27,24-28,9,34,43,29,13,6,15,26,129,401070781,Raptors,1,2018-10-30
41-88,4-22,21-37,10,29,39,15,10,4,13,25,107,401070899,Jazz,0,2018-11-16
41-81,11-23,20-32,10,31,41,25,7,5,17,27,113,401070899,76ers,1,2018-11-16
44-87,13-33,13-24,5,26,31,25,9,4,13,34,114,401070923,Suns,0,2018-11-19
41-84,6-22,31-42,13,40,53,24,8,1,19,27,119,401070923,76ers,1,2018-11-19
37-92,8-28,16-19,8,34,42,22,10,4,15,20,98,401071003,Wizards,0,2018-11-30
43-98,12-38,25-33,17,41,58,28,11,7,12,17,123,401071003,76ers,1,2018-11-30
40-88,11-35,11-14,11,38,49,26,7,5,21,23,102,401071040,76ers,0,2018-12-05
43-100,8-29,19-22,17,36,53,25,12,3,11,13,113,401071040,Raptors,1,2018-12-05
40-98,11-37,5-7,12,29,41,29,3,5,10,15,96,401071129,76ers,0,2018-12-17
49-87,9-23,16-17,4,41,45,28,5,9,6,14,123,401071129,Spurs,1,2018-12-17
37-95,10-40,17-19,8,33,41,17,5,2,15,24,101,401071162,Raptors,0,2018-12-22
46-85,8-24,26-35,4,49,53,33,10,7,11,21,126,401071162,76ers,1,2018-12-22
43-86,13-35,15-18,9,38,47,31,7,7,13,21,114,401071191,76ers,0,2018-12-27
33-86,11-35,20-27,12,32,44,19,11,1,16,19,97,401071191,Jazz,1,2018-12-27
34-96,8-43,19-27,9,27,36,18,15,2,11,21,95,401071216,76ers,0,2018-12-30
49-83,12-22,19-25,7,52,59,28,2,2,21,22,129,401071216,Trail Blazers,1,2018-12-30
40-74,11-24,41-54,8,36,44,27,9,3,17,30,132,401071237,76ers,0,2019-01-02
43-95,11-34,30-36,13,24,37,22,10,3,15,34,127,401071237,Suns,1,2019-01-02
42-84,14-32,17-21,6,28,34,26,14,3,16,18,115,401071276,Wizards,0,2019-01-08
49-88,17-33,17-25,13,36,49,39,10,2,19,20,132,401071276,76ers,1,2019-01-08
37-86,8-27,24-31,17,29,46,23,12,3,24,20,106,401071284,76ers,0,2019-01-09
47-87,13-27,16-21,11,28,39,26,16,2,18,21,123,401071284,Wizards,1,2019-01-09
46-83,4-18,24-26,6,41,47,24,7,6,14,15,120,401070791,Spurs,0,2018-10-31
35-90,6-24,14-18,7,28,35,21,10,3,15,26,90,401070791,Suns,1,2018-10-31
41-81,12-33,13-21,6,33,39,29,11,10,13,23,107,401070804,Raptors,0,2018-11-02
40-91,8-26,10-18,12,37,49,20,3,4,15,18,98,401070804,Suns,1,2018-11-02
35-83,7-23,19-24,13,30,43,16,7,4,18,12,96,401070892,Spurs,0,2018-11-14
47-84,15-31,7-8,5,33,38,27,9,4,16,23,116,401070892,Suns,1,2018-11-14
45-84,11-24,21-32,9,33,42,27,13,3,13,22,122,401071034,Kings,0,2018-12-04
38-87,12-43,17-21,13,30,43,27,9,4,21,27,105,401071034,Suns,1,2018-12-04
35-91,5-27,11-14,11,30,41,20,11,2,16,21,86,401071047,Suns,0,2018-12-06
41-85,9-27,17-27,13,43,56,24,10,6,17,19,108,401071047,Trail Blazers,1,2018-12-06
33-82,8-28,12-14,8,32,40,19,7,5,17,22,86,401071084,Suns,0,2018-12-11
41-83,13-21,16-19,8,38,46,28,7,2,15,15,111,401071084,Spurs,1,2018-12-11
55-115,11-35,25-33,19,31,50,30,14,7,14,28,146,401071161,Suns,0,2018-12-22
56-111,13-36,24-27,17,36,53,40,6,5,22,26,149,401071161,Wizards,1,2018-12-22
38-80,15-29,20-29,12,31,43,26,11,5,25,19,111,401071280,Kings,0,2019-01-08
45-88,10-25,15-19,9,28,37,31,18,7,19,25,115,401071280,Suns,1,2019-01-08
42-100,13-30,11-14,15,25,40,29,5,4,6,17,108,401070717,Spurs,0,2018-10-20
45-84,15-32,16-19,8,38,46,24,5,3,12,14,121,401070717,Trail Blazers,1,2018-10-20
46-110,15-37,18-26,12,42,54,23,6,7,10,27,125,401070727,Wizards,0,2018-10-22
43-108,11-39,27-31,17,53,70,22,6,4,19,22,124,401070727,Trail Blazers,1,2018-10-22
39-86,11-30,30-35,9,43,52,26,4,3,15,25,119,401070918,Trail Blazers,0,2018-11-18
43-96,13-32,10-21,9,34,43,28,4,9,11,30,109,401070918,Wizards,1,2018-11-18
45-86,12-29,16-16,9,26,35,25,6,5,17,21,118,401071023,Trail Blazers,0,2018-12-02
50-83,11-15,20-22,5,29,34,29,5,4,12,15,131,401071023,Spurs,1,2018-12-02
43-78,18-31,18-21,6,31,37,20,4,4,16,21,122,401071108,Raptors,0,2018-12-14
48-94,13-27,19-21,12,26,38,29,10,4,8,15,128,401071108,Trail Blazers,1,2018-12-14
47-85,16-31,10-17,6,36,42,35,7,6,15,21,120,401071157,Jazz,0,2018-12-21
35-87,10-32,10-18,13,29,42,17,8,6,14,16,90,401071157,Trail Blazers,1,2018-12-21
35-89,9-23,17-26,11,31,42,20,7,3,12,20,96,401070237,Trail Blazers,0,2018-12-25
46-83,13-29,12-23,9,40,49,20,7,10,17,19,117,401070237,Jazz,1,2018-12-25
39-90,9-32,26-30,10,46,56,22,11,10,18,19,113,401071228,Trail Blazers,0,2019-01-01
44-115,11-33,9-12,14,39,53,24,13,4,13,23,108,401071228,Kings,1,2019-01-01
41-79,13-27,28-38,5,39,44,21,8,4,17,19,123,401070700,Jazz,0,2018-10-17
49-95,7-19,12-18,5,32,37,17,8,3,9,27,117,401070700,Kings,1,2018-10-17
40-86,14-42,18-23,5,37,42,22,8,7,21,27,112,401070754,Wizards,0,2018-10-26
44-95,14-37,14-23,14,39,53,25,8,4,18,18,116,401070754,Kings,1,2018-10-26
41-89,11-36,21-23,13,40,53,17,10,4,20,20,114,401070842,Raptors,0,2018-11-07
42-88,8-23,13-18,6,25,31,27,10,5,15,26,105,401070842,Kings,1,2018-11-07
38-87,10-31,13-16,9,34,43,25,5,4,15,12,99,401070878,Spurs,0,2018-11-12
43-86,11-24,7-12,7,38,45,27,12,3,12,20,104,401070878,Kings,1,2018-11-12
47-89,11-25,14-19,8,40,48,27,5,4,11,30,119,401070944,Kings,0,2018-11-21
38-88,12-39,22-31,12,34,46,21,7,7,10,21,110,401070944,Jazz,1,2018-11-21
49-92,10-30,25-33,13,36,49,30,11,5,18,26,133,401070973,Jazz,0,2018-11-25
40-85,9-23,23-31,7,29,36,20,10,7,17,25,112,401070973,Kings,1,2018-11-25
44-90,7-22,10-11,7,25,32,25,7,5,16,19,105,401071035,Spurs,0,2018-12-04
51-84,20-33,17-20,5,37,42,38,12,5,17,20,139,401071035,Jazz,1,2018-12-04
37-85,9-29,14-19,9,29,38,23,8,4,14,15,97,401071070,Jazz,0,2018-12-09
47-89,5-14,11-12,10,36,46,26,7,7,11,15,110,401071070,Spurs,1,2018-12-09
39-87,6-30,23-29,9,30,39,21,9,6,10,23,107,401071239,Raptors,0,2019-01-03
47-85,13-27,18-20,8,36,44,32,7,0,12,19,125,401071239,Spurs,1,2019-01-03
39-88,10-29,29-36,14,38,52,21,5,5,17,29,117,401070221,Raptors,0,2018-10-20
37-89,13-39,26-32,9,28,37,20,11,9,11,27,113,401070221,Wizards,1,2018-10-20
49-86,13-33,13-14,7,36,43,21,9,3,14,28,124,401070827,Raptors,0,2018-11-05
38-86,8-31,27-41,12,28,40,29,10,4,12,19,111,401070827,Jazz,1,2018-11-05
40-100,9-46,18-19,14,30,44,28,8,7,12,16,107,401070952,Wizards,0,2018-11-23
46-93,17-39,16-19,13,37,50,32,5,6,15,23,125,401070952,Raptors,1,2018-11-23
42-97,9-32,23-29,12,31,43,23,6,4,4,27,116,401071225,Jazz,0,2019-01-01
45-82,7-20,25-35,5,40,45,18,4,6,9,21,122,401071225,Raptors,1,2019-01-01
45-81,12-25,21-27,15,29,44,27,7,4,21,24,123,401071297,Hawks,0,2019-01-11
45-87,11-33,20-27,11,19,30,31,13,4,15,23,121,401071297,76ers,1,2019-01-11
49-92,11-30,24-33,8,31,39,28,13,4,14,25,133,401071316,Bucks,0,2019-01-13
39-96,12-38,24-30,18,36,54,19,3,5,24,30,114,401071316,Hawks,1,2019-01-13
37-88,11-30,20-30,9,45,54,20,4,4,17,21,105,401071300,Nets,0,2019-01-11
48-105,11-35,15-24,13,42,55,32,10,4,9,22,122,401071300,Raptors,1,2019-01-11
37-91,11-36,17-23,10,31,41,21,10,8,10,21,102,401071321,Celtics,0,2019-01-14
37-86,13-39,22-25,13,42,55,18,5,7,17,20,109,401071321,Nets,1,2019-01-14
38-90,8-32,19-28,10,36,46,19,7,3,8,18,103,401071308,Celtics,0,2019-01-12
36-84,11-38,22-24,9,41,50,21,2,5,15,20,105,401071308,Magic,1,2019-01-12
36-90,13-30,11-16,10,33,43,23,3,2,13,10,96,401071304,Hornets,0,2019-01-11
52-93,15-40,8-9,7,40,47,31,10,16,9,20,127,401071304,Trail Blazers,1,2019-01-11
36-88,12-36,13-22,13,43,56,21,6,11,18,17,97,401071313,Hornets,0,2019-01-12
41-99,14-37,8-12,12,37,49,27,8,5,11,21,104,401071313,Kings,1,2019-01-12
43-92,13-36,9-11,8,37,45,24,7,4,7,14,108,401071323,Hornets,0,2019-01-14
38-82,7-20,10-12,3,33,36,21,4,6,12,15,93,401071323,Spurs,1,2019-01-14
35-78,9-20,30-34,5,24,29,16,9,1,13,21,109,401071305,Bulls,0,2019-01-11
53-92,18-39,22-26,11,38,49,38,6,8,12,27,146,401071305,Warriors,1,2019-01-11
40-97,7-25,15-17,10,37,47,24,8,7,9,19,102,401071312,Bulls,0,2019-01-12
38-88,16-45,18-25,10,42,52,23,6,11,13,18,110,401071312,Jazz,1,2019-01-12
40-89,9-33,24-26,6,33,39,24,12,4,13,24,113,401071301,Cavaliers,0,2019-01-11
46-89,20-52,29-32,8,37,45,28,8,9,15,18,141,401071301,Rockets,1,2019-01-11
38-89,8-21,17-23,10,42,52,18,5,2,10,21,101,401071320,Cavaliers,0,2019-01-13
36-91,7-34,16-27,13,38,51,21,4,5,11,22,95,401071320,Lakers,1,2019-01-13
44-97,13-38,18-24,11,32,43,25,7,7,7,16,119,401071302,Mavericks,0,2019-01-11
47-102,10-24,11-13,17,36,53,27,5,10,13,20,115,401071302,Timberwolves,1,2019-01-11
45-99,19-45,10-12,16,33,49,26,9,8,10,22,119,401071318,Warriors,0,2019-01-13
38-91,16-38,22-29,18,33,51,21,5,4,12,14,114,401071318,Mavericks,1,2019-01-13
34-88,10-31,15-22,13,37,50,25,7,6,15,19,93,401071311,Nuggets,0,2019-01-12
38-92,8-26,18-25,14,35,49,29,11,9,9,19,102,401071311,Suns,1,2019-01-12
40-88,12-34,21-22,8,31,39,25,5,1,9,22,113,401071319,Trail Blazers,0,2019-01-13
45-81,9-22,17-20,4,31,35,21,5,0,11,20,116,401071319,Nuggets,1,2019-01-13
37-85,16-37,19-22,14,34,48,20,12,5,16,26,109,401071306,Pistons,0,2019-01-12
36-74,9-18,23-29,6,32,38,25,7,5,17,19,104,401071306,Clippers,1,2019-01-12
35-90,11-36,13-16,5,33,38,16,13,4,9,27,94,401071324,Pistons,0,2019-01-14
31-80,12-37,26-36,11,44,55,20,5,3,17,18,100,401071324,Jazz,1,2019-01-14
38-86,10-42,23-27,9,29,38,20,7,1,10,21,109,401071317,Rockets,0,2019-01-13
41-85,9-24,25-28,12,33,45,25,6,2,11,21,116,401071317,Magic,1,2019-01-13
36-71,10-22,12-22,9,34,43,31,5,5,24,20,94,401071322,Grizzlies,0,2019-01-14
37-84,18-48,20-22,7,29,36,17,12,3,13,20,112,401071322,Rockets,1,2019-01-14
49-94,12-26,11-11,11,36,47,30,8,1,14,15,121,401071299,Pacers,0,2019-01-11
39-88,14-39,14-16,8,29,37,22,8,5,16,18,106,401071299,Knicks,1,2019-01-11
46-105,8-25,21-28,15,34,49,28,8,7,6,19,121,401071326,Pelicans,0,2019-01-14
41-86,18-36,17-24,8,42,50,34,4,7,16,21,117,401071326,Clippers,1,2019-01-14
37-103,5-27,16-24,16,39,55,14,9,5,12,23,95,401071303,Lakers,0,2019-01-11
38-96,15-42,22-32,15,50,65,24,9,9,16,20,113,401071303,Jazz,1,2019-01-11
39-81,9-29,21-27,10,28,38,18,9,6,10,21,108,401071307,Grizzlies,0,2019-01-12
40-80,15-31,17-24,10,28,38,25,7,4,14,23,112,401071307,Heat,1,2019-01-12
40-89,13-40,13-17,10,33,43,26,8,6,15,17,106,401071298,Bucks,0,2019-01-11
40-82,18-33,15-20,6,37,43,28,10,3,16,17,113,401071298,Wizards,1,2019-01-11
40-87,5-24,21-24,10,38,48,22,7,8,15,20,106,401071309,Pelicans,0,2019-01-12
40-93,11-39,19-24,15,35,50,23,7,5,13,20,110,401071309,Timberwolves,1,2019-01-12
40-87,6-20,22-30,12,44,56,22,4,9,16,21,108,401071314,76ers,0,2019-01-13
37-86,10-31,21-30,7,27,34,24,8,5,10,21,105,401071314,Knicks,1,2019-01-13
44-96,10-31,14-20,13,39,52,21,5,7,14,18,112,401071310,Spurs,0,2019-01-12
43-93,11-23,25-29,7,40,47,27,10,5,7,16,122,401071310,Thunder,1,2019-01-12
37-92,10-31,23-29,17,32,49,22,6,3,14,23,107,401071325,Trail Blazers,0,2019-01-14
43-87,10-26,19-24,11,37,48,24,6,6,13,23,115,401071325,Kings,1,2019-01-14
49-104,13-36,29-36,17,42,59,24,16,8,21,27,140,401071315,Raptors,0,2019-01-13
54-118,19-44,11-18,17,34,51,36,11,7,20,28,138,401071315,Wizards,1,2019-01-13
